Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10
2014,Fresno,11,Community-Acquired Pneumonia,1419,679486,208.8,233.8,,,
2015,Fresno,11,Community-Acquired Pneumonia,992,491442,201.9,214.3,,,
2016,Fresno,11,Community-Acquired Pneumonia,,,,,"1,450","699,317",207.3
2017,Fresno,11,Community-Acquired Pneumonia,,,,,"1,101","707,571",155.6
2005,Glenn,11,Community-Acquired Pneumonia,110,19553,562.6,565.4,,,
2006,Glenn,11,Community-Acquired Pneumonia,114,19731,577.8,577.6,,,
2007,Glenn,11,Community-Acquired Pneumonia,101,19842,509,507.6,,,
2008,Glenn,11,Community-Acquired Pneumonia,105,20067,523.2,521.4,,,
2009,Glenn,11,Community-Acquired Pneumonia,100,20155,496.2,493.1,,,
2010,Glenn,11,Community-Acquired Pneumonia,86,20314,423.4,417.2,,,
2011,Glenn,11,Community-Acquired Pneumonia,86,20400,421.6,412.8,,,
2012,Glenn,11,Community-Acquired Pneumonia,82,21643,378.9,379.6,,,
2013,Glenn,11,Community-Acquired Pneumonia,69,21703,317.9,312.9,,,
2014,Glenn,11,Community-Acquired Pneumonia,59,21574,273.5,269.9,,,
2015,Glenn,11,Community-Acquired Pneumonia,55,16846,326.5,321.3,,,
2016,Glenn,11,Community-Acquired Pneumonia,,,,,70,"20,547",340.7
2017,Glenn,11,Community-Acquired Pneumonia,,,,,53,"20,671",256.4
2005,Humboldt,11,Community-Acquired Pneumonia,356,102809,346.3,369.1,,,
2006,Humboldt,11,Community-Acquired Pneumonia,299,103611,288.6,305.6,,,
2007,Humboldt,11,Community-Acquired Pneumonia,317,103821,305.3,320.9,,,
2008,Humboldt,11,Community-Acquired Pneumonia,305,104570,291.7,303.5,,,
2009,Humboldt,11,Community-Acquired Pneumonia,275,105478,260.7,270.3,,,
2010,Humboldt,11,Community-Acquired Pneumonia,301,106717,282.1,291.5,,,
2011,Humboldt,11,Community-Acquired Pneumonia,284,107013,265.4,271.8,,,
2012,Humboldt,11,Community-Acquired Pneumonia,232,105607,219.7,219.9,,,
2013,Humboldt,11,Community-Acquired Pneumonia,209,105726,197.7,195.7,,,
2014,Humboldt,11,Community-Acquired Pneumonia,175,108619,161.1,161.2,,,
2015,Humboldt,11,Community-Acquired Pneumonia,155,79121,195.9,189,,,
2016,Humboldt,11,Community-Acquired Pneumonia,,,,,142,"109,930",129.2
2017,Humboldt,11,Community-Acquired Pneumonia,,,,,125,"110,444",113.2
2005,Imperial,11,Community-Acquired Pneumonia,310,109478,283.2,347.3,,,
2006,Imperial,11,Community-Acquired Pneumonia,282,112879,249.8,304.5,,,
2007,Imperial,11,Community-Acquired Pneumonia,269,115944,232,280.2,,,
2008,Imperial,11,Community-Acquired Pneumonia,277,118550,233.7,277.6,,,
2009,Imperial,11,Community-Acquired Pneumonia,356,121552,292.9,343.9,,,
2010,Imperial,11,Community-Acquired Pneumonia,333,124055,268.4,312.5,,,
2011,Imperial,11,Community-Acquired Pneumonia,374,125985,296.9,340.4,,,
2012,Imperial,11,Community-Acquired Pneumonia,355,122385,290.1,316.1,,,
2013,Imperial,11,Community-Acquired Pneumonia,279,122276,228.2,242.7,,,
2014,Imperial,11,Community-Acquired Pneumonia,279,130127,214.4,236.3,,,
2015,Imperial,11,Community-Acquired Pneumonia,197,92754,212.4,213.7,,,
2016,Imperial,11,Community-Acquired Pneumonia,,,,,328,"128,931",254.4
2017,Imperial,11,Community-Acquired Pneumonia,,,,,271,"130,534",207.6
2005,Inyo,11,Community-Acquired Pneumonia,77,14549,529.2,405.4,,,
2006,Inyo,11,Community-Acquired Pneumonia,62,14457,428.9,335.8,,,
2007,Inyo,11,Community-Acquired Pneumonia,65,14505,448.1,349.8,,,
2008,Inyo,11,Community-Acquired Pneumonia,57,14485,393.5,308.4,,,
2009,Inyo,11,Community-Acquired Pneumonia,46,14651,314,246.3,,,
2010,Inyo,11,Community-Acquired Pneumonia,36,14670,245.4,193.1,,,
2011,Inyo,11,Community-Acquired Pneumonia,34,14640,232.2,178.9,,,
2012,Inyo,11,Community-Acquired Pneumonia,43,16277,264.2,223.6,,,
2013,Inyo,11,Community-Acquired Pneumonia,27,16250,166.2,138.3,,,
2014,Inyo,11,Community-Acquired Pneumonia,30,15730,190.7,154.3,,,
2015,Inyo,11,Community-Acquired Pneumonia,14,12814,109.3,92,,,
2016,Inyo,11,Community-Acquired Pneumonia,,,,,21,"14,322",146.6
2017,Inyo,11,Community-Acquired Pneumonia,,,,,23,"14,335",160.4
2005,Kern,11,Community-Acquired Pneumonia,2225,526395,422.7,548.6,,,
2006,Kern,11,Community-Acquired Pneumonia,1836,544084,337.4,440.1,,,
2007,Kern,11,Community-Acquired Pneumonia,1734,557795,310.9,404.9,,,
2008,Kern,11,Community-Acquired Pneumonia,1867,568635,328.3,426,,,
2009,Kern,11,Community-Acquired Pneumonia,1739,578043,300.8,388.6,,,
2010,Kern,11,Community-Acquired Pneumonia,1607,587730,273.4,350.7,,,
2011,Kern,11,Community-Acquired Pneumonia,1563,597565,261.6,333.2,,,
2012,Kern,11,Community-Acquired Pneumonia,1261,576340,218.8,266.3,,,
2013,Kern,11,Community-Acquired Pneumonia,1307,583929,223.8,270.2,,,
2014,Kern,11,Community-Acquired Pneumonia,1110,622019,178.5,223.5,,,
2015,Kern,11,Community-Acquired Pneumonia,948,441243,214.8,250.8,,,
2016,Kern,11,Community-Acquired Pneumonia,,,,,"1,167","627,175",186.1
2017,Kern,11,Community-Acquired Pneumonia,,,,,"1,080","633,999",170.3
2005,Kings,11,Community-Acquired Pneumonia,326,104744,311.2,463.6,,,
2006,Kings,11,Community-Acquired Pneumonia,290,106918,271.2,403.3,,,
2007,Kings,11,Community-Acquired Pneumonia,265,108972,243.2,358.7,,,
2008,Kings,11,Community-Acquired Pneumonia,289,110111,262.5,380.9,,,
2009,Kings,11,Community-Acquired Pneumonia,284,109913,258.4,370.1,,,
2010,Kings,11,Community-Acquired Pneumonia,282,110532,255.1,362.1,,,
2011,Kings,11,Community-Acquired Pneumonia,294,111322,264.1,370.4,,,
2012,Kings,11,Community-Acquired Pneumonia,235,107485,218.6,294.4,,,
2013,Kings,11,Community-Acquired Pneumonia,273,107035,255.1,337.2,,,
2014,Kings,11,Community-Acquired Pneumonia,168,114326,146.9,199.8,,,
2015,Kings,11,Community-Acquired Pneumonia,107,78983,135.5,171.4,,,
2016,Kings,11,Community-Acquired Pneumonia,,,,,173,"108,996",158.7
2017,Kings,11,Community-Acquired Pneumonia,,,,,161,"109,137",147.5
2005,Lake,11,Community-Acquired Pneumonia,246,49529,496.7,431.6,,,
2006,Lake,11,Community-Acquired Pneumonia,246,49985,492.1,431.4,,,
2007,Lake,11,Community-Acquired Pneumonia,236,50130,470.8,411,,,
2008,Lake,11,Community-Acquired Pneumonia,246,50505,487.1,422.3,,,
2009,Lake,11,Community-Acquired Pneumonia,219,50722,431.8,371.3,,,
2010,Lake,11,Community-Acquired Pneumonia,236,51151,461.4,394.2,,,
2011,Lake,11,Community-Acquired Pneumonia,235,51085,460,386.7,,,
2012,Lake,11,Community-Acquired Pneumonia,220,51501,427.2,361.2,,,
2013,Lake,11,Community-Acquired Pneumonia,196,51581,380,316.5,,,
2014,Lake,11,Community-Acquired Pneumonia,223,52953,421.1,361.3,,,
2015,Lake,11,Community-Acquired Pneumonia,150,39003,384.6,312.8,,,
2016,Lake,11,Community-Acquired Pneumonia,,,,,166,"50,727",327.2
2017,Lake,11,Community-Acquired Pneumonia,,,,,93,"50,920",182.6
2005,Lassen,11,Community-Acquired Pneumonia,62,27722,223.6,300.4,,,
2006,Lassen,11,Community-Acquired Pneumonia,83,27919,297.3,395.9,,,
2007,Lassen,11,Community-Acquired Pneumonia,75,29030,258.4,346.8,,,
2008,Lassen,11,Community-Acquired Pneumonia,90,28658,314,414.7,,,
2009,Lassen,11,Community-Acquired Pneumonia,101,28696,352,457,,,
2010,Lassen,11,Community-Acquired Pneumonia,89,28485,312.4,402.3,,,
2011,Lassen,11,Community-Acquired Pneumonia,89,28179,315.8,399.8,,,
2012,Lassen,11,Community-Acquired Pneumonia,69,29146,236.7,305.4,,,
2013,Lassen,11,Community-Acquired Pneumonia,64,27797,230.2,283.8,,,
2014,Lassen,11,Community-Acquired Pneumonia,65,29236,222.3,277.7,,,
2015,Lassen,11,Community-Acquired Pneumonia,44,20747,212.1,255.8,,,
2016,Lassen,11,Community-Acquired Pneumonia,,,,,65,"25,606",253.8
2017,Lassen,11,Community-Acquired Pneumonia,,,,,49,"25,814",189.8
2005,Los Angeles,11,Community-Acquired Pneumonia,21628,7202516,300.3,364.2,,,
2006,Los Angeles,11,Community-Acquired Pneumonia,17845,7208716,247.5,298.1,,,
2007,Los Angeles,11,Community-Acquired Pneumonia,17060,7223112,236.2,280.7,,,
2008,Los Angeles,11,Community-Acquired Pneumonia,16779,7281072,230.4,270.9,,,
2009,Los Angeles,11,Community-Acquired Pneumonia,16085,7353912,218.7,254.6,,,
2010,Los Angeles,11,Community-Acquired Pneumonia,15373,7416633,207.3,238.4,,,
2011,Los Angeles,11,Community-Acquired Pneumonia,15247,7504083,203.2,231.1,,,
2012,Los Angeles,11,Community-Acquired Pneumonia,13560,7317992,185.3,202.1,,,
2013,Los Angeles,11,Community-Acquired Pneumonia,12954,7410685,174.8,188.6,,,
2014,Los Angeles,11,Community-Acquired Pneumonia,11407,7525122,151.6,165.5,,,
2015,Los Angeles,11,Community-Acquired Pneumonia,8893,5622301,158.2,164.7,,,
2016,Los Angeles,11,Community-Acquired Pneumonia,,,,,"10,538","7,900,077",133.4
2017,Los Angeles,11,Community-Acquired Pneumonia,,,,,"7,718","7,938,602",97.2
2005,Madera,11,Community-Acquired Pneumonia,366,100047,365.8,419.7,,,
2006,Madera,11,Community-Acquired Pneumonia,276,102344,269.7,309.5,,,
2007,Madera,11,Community-Acquired Pneumonia,230,104227,220.7,250.9,,,
2008,Madera,11,Community-Acquired Pneumonia,256,105909,241.7,273.9,,,
2009,Madera,11,Community-Acquired Pneumonia,297,106674,278.4,312.7,,,
2010,Madera,11,Community-Acquired Pneumonia,318,108385,293.4,327.7,,,
2011,Madera,11,Community-Acquired Pneumonia,241,109902,219.3,243,,,
2012,Madera,11,Community-Acquired Pneumonia,205,106934,191.7,204,,,
2013,Madera,11,Community-Acquired Pneumonia,208,107252,193.9,203.4,,,
2014,Madera,11,Community-Acquired Pneumonia,205,113845,180.1,194.1,,,
2015,Madera,11,Community-Acquired Pneumonia,146,81407,179.3,182.4,,,
2016,Madera,11,Community-Acquired Pneumonia,,,,,165,"112,276",147
2017,Madera,11,Community-Acquired Pneumonia,,,,,127,"113,877",111.5
2005,Marin,11,Community-Acquired Pneumonia,578,194828,296.7,272,,,
2006,Marin,11,Community-Acquired Pneumonia,468,194956,240.1,217.2,,,
2007,Marin,11,Community-Acquired Pneumonia,447,196294,227.7,203.7,,,
2008,Marin,11,Community-Acquired Pneumonia,474,197929,239.5,212,,,
2009,Marin,11,Community-Acquired Pneumonia,397,199904,198.6,173.5,,,
2010,Marin,11,Community-Acquired Pneumonia,412,201547,204.4,176.5,,,
2011,Marin,11,Community-Acquired Pneumonia,284,203181,139.8,118.3,,,
2012,Marin,11,Community-Acquired Pneumonia,273,200046,136.5,111.7,,,
2013,Marin,11,Community-Acquired Pneumonia,264,202161,130.6,105,,,
2014,Marin,11,Community-Acquired Pneumonia,228,201613,113.1,90.7,,,
2015,Marin,11,Community-Acquired Pneumonia,219,152906,143.2,111,,,
2016,Marin,11,Community-Acquired Pneumonia,,,,,226,"208,411",108.4
2017,Marin,11,Community-Acquired Pneumonia,,,,,211,"208,468",101.2
2005,Mariposa,11,Community-Acquired Pneumonia,54,14466,373.3,314.9,,,
2006,Mariposa,11,Community-Acquired Pneumonia,61,14728,414.2,352.1,,,
2007,Mariposa,11,Community-Acquired Pneumonia,40,14903,268.4,226.2,,,
2008,Mariposa,11,Community-Acquired Pneumonia,54,14996,360.1,297.5,,,
2009,Mariposa,11,Community-Acquired Pneumonia,40,14925,268,216.7,,,
2010,Mariposa,11,Community-Acquired Pneumonia,30,15017,199.8,160.5,,,
2011,Mariposa,11,Community-Acquired Pneumonia,42,15034,279.4,218.2,,,
2012,Mariposa,11,Community-Acquired Pneumonia,40,16563,241.5,201,,,
2013,Mariposa,11,Community-Acquired Pneumonia,42,16491,254.7,207.9,,,
2014,Mariposa,11,Community-Acquired Pneumonia,28,16334,171.4,136.5,,,
2015,Mariposa,11,Community-Acquired Pneumonia,27,12911,209.1,170.4,,,
2016,Mariposa,11,Community-Acquired Pneumonia,,,,,34,"14,650",232.1
2017,Mariposa,11,Community-Acquired Pneumonia,,,,,26,"14,692",177
2005,Mendocino,11,Community-Acquired Pneumonia,217,67693,320.6,307.4,,,
2006,Mendocino,11,Community-Acquired Pneumonia,230,67469,340.9,323.7,,,
2007,Mendocino,11,Community-Acquired Pneumonia,195,67582,288.5,269.8,,,
2008,Mendocino,11,Community-Acquired Pneumonia,191,68025,280.8,259.2,,,
2009,Mendocino,11,Community-Acquired Pneumonia,231,68421,337.6,309.2,,,
2010,Mendocino,11,Community-Acquired Pneumonia,241,68517,351.7,321.3,,,
2011,Mendocino,11,Community-Acquired Pneumonia,238,68336,348.3,311.7,,,
2012,Mendocino,11,Community-Acquired Pneumonia,200,68344,292.6,256.6,,,
2013,Mendocino,11,Community-Acquired Pneumonia,186,68379,272,234.7,,,
2014,Mendocino,11,Community-Acquired Pneumonia,203,69334,292.8,254.8,,,
2015,Mendocino,11,Community-Acquired Pneumonia,119,51516,231,193.4,,,
2016,Mendocino,11,Community-Acquired Pneumonia,,,,,151,"68,571",220.2
2017,Mendocino,11,Community-Acquired Pneumonia,,,,,121,"68,970",175.4
2005,Merced,11,Community-Acquired Pneumonia,472,162795,289.9,370.1,,,
2006,Merced,11,Community-Acquired Pneumonia,426,165009,258.2,330.2,,,
2007,Merced,11,Community-Acquired Pneumonia,430,167724,256.4,324.2,,,
2008,Merced,11,Community-Acquired Pneumonia,361,169736,212.7,265.9,,,
2009,Merced,11,Community-Acquired Pneumonia,463,171809,269.5,332.7,,,
2010,Merced,11,Community-Acquired Pneumonia,465,175232,265.4,324.1,,,
2011,Merced,11,Community-Acquired Pneumonia,516,178783,288.6,349.1,,,
2012,Merced,11,Community-Acquired Pneumonia,455,174274,261.1,302.6,,,
2013,Merced,11,Community-Acquired Pneumonia,458,176084,260.1,298.3,,,
2014,Merced,11,Community-Acquired Pneumonia,448,184892,242.3,286.9,,,
2015,Merced,11,Community-Acquired Pneumonia,457,133727,341.7,378.3,,,
2016,Merced,11,Community-Acquired Pneumonia,,,,,499,"188,808",264.3
2017,Merced,11,Community-Acquired Pneumonia,,,,,363,"192,033",189
2005,Modoc,11,Community-Acquired Pneumonia,27,7408,364.5,303.5,,,
2006,Modoc,11,Community-Acquired Pneumonia,29,7461,388.7,326.5,,,
2007,Modoc,11,Community-Acquired Pneumonia,31,7429,417.3,340.5,,,
2008,Modoc,11,Community-Acquired Pneumonia,25,7469,334.7,274.7,,,
2009,Modoc,11,Community-Acquired Pneumonia,31,7565,409.8,332.5,,,
2010,Modoc,11,Community-Acquired Pneumonia,26,7599,342.2,275.2,,,
2011,Modoc,11,Community-Acquired Pneumonia,26,7517,345.9,268.9,,,
2012,Modoc,11,Community-Acquired Pneumonia,22,9249,237.9,224.4,,,
2013,Modoc,11,Community-Acquired Pneumonia,32,9141,350.1,325.1,,,
2014,Modoc,11,Community-Acquired Pneumonia,18,8570,210,180.1,,,
2015,Modoc,11,Community-Acquired Pneumonia,12,7417,161.8,159.2,,,
2016,Modoc,11,Community-Acquired Pneumonia,,,,,24,"7,228",332
2017,Modoc,11,Community-Acquired Pneumonia,,,,,20,"7,187",278.3
2005,Mono,11,Community-Acquired Pneumonia,10,10514,95.1,147.7,,,
2006,Mono,11,Community-Acquired Pneumonia,3,10747,27.9,41.6,,,
2007,Mono,11,Community-Acquired Pneumonia,5,10719,46.6,67.3,,,
2008,Mono,11,Community-Acquired Pneumonia,6,10892,55.1,77.2,,,
2009,Mono,11,Community-Acquired Pneumonia,10,11055,90.5,124.1,,,
2010,Mono,11,Community-Acquired Pneumonia,7,11224,62.4,84,,,
2011,Mono,11,Community-Acquired Pneumonia,7,11294,62,80.6,,,
2012,Mono,11,Community-Acquired Pneumonia,5,13186,37.9,53.7,,,
2013,Mono,11,Community-Acquired Pneumonia,4,12990,30.8,41.8,,,
2014,Mono,11,Community-Acquired Pneumonia,10,12503,80,105.9,,,
2015,Mono,11,Community-Acquired Pneumonia,5,10444,47.9,64.7,,,
2016,Mono,11,Community-Acquired Pneumonia,,,,,10,"11,456",87.3
2017,Mono,11,Community-Acquired Pneumonia,,,,,7,"11,537",60.7
2005,Monterey,11,Community-Acquired Pneumonia,780,294634,264.7,311.7,,,
2006,Monterey,11,Community-Acquired Pneumonia,651,292832,222.3,259.9,,,
2007,Monterey,11,Community-Acquired Pneumonia,609,293684,207.4,239.4,,,
2008,Monterey,11,Community-Acquired Pneumonia,612,296155,206.6,236.6,,,
2009,Monterey,11,Community-Acquired Pneumonia,645,299502,215.4,244.3,,,
2010,Monterey,11,Community-Acquired Pneumonia,564,304351,185.3,208.6,,,
2011,Monterey,11,Community-Acquired Pneumonia,617,308056,200.3,223.9,,,
2012,Monterey,11,Community-Acquired Pneumonia,502,301958,166.2,179.3,,,
2013,Monterey,11,Community-Acquired Pneumonia,475,304287,156.1,165.9,,,
2014,Monterey,11,Community-Acquired Pneumonia,446,305907,145.8,156,,,
2015,Monterey,11,Community-Acquired Pneumonia,363,229305,158.3,162.2,,,
2016,Monterey,11,Community-Acquired Pneumonia,,,,,424,"321,726",131.8
2017,Monterey,11,Community-Acquired Pneumonia,,,,,400,"323,046",123.8
2005,Napa,11,Community-Acquired Pneumonia,359,99628,360.3,326,,,
2006,Napa,11,Community-Acquired Pneumonia,349,100569,347,313.1,,,
2007,Napa,11,Community-Acquired Pneumonia,355,101701,349.1,313.9,,,
2008,Napa,11,Community-Acquired Pneumonia,313,102958,304,272.3,,,
2009,Napa,11,Community-Acquired Pneumonia,366,103909,352.2,316.8,,,
2010,Napa,11,Community-Acquired Pneumonia,291,105302,276.3,248.9,,,
2011,Napa,11,Community-Acquired Pneumonia,273,106488,256.4,230.1,,,
2012,Napa,11,Community-Acquired Pneumonia,229,106095,215.8,190,,,
2013,Napa,11,Community-Acquired Pneumonia,182,107433,169.4,148.4,,,
2014,Napa,11,Community-Acquired Pneumonia,147,108610,135.3,120,,,
2015,Napa,11,Community-Acquired Pneumonia,115,82361,139.6,120.7,,,
2016,Napa,11,Community-Acquired Pneumonia,,,,,134,"111,505",120.2
2017,Napa,11,Community-Acquired Pneumonia,,,,,86,"111,326",77.3
2005,Nevada,11,Community-Acquired Pneumonia,363,77111,470.7,391.7,,,
2006,Nevada,11,Community-Acquired Pneumonia,305,77728,392.4,321.9,,,
2007,Nevada,11,Community-Acquired Pneumonia,298,78179,381.2,308.6,,,
2008,Nevada,11,Community-Acquired Pneumonia,245,78803,310.9,249.6,,,
2009,Nevada,11,Community-Acquired Pneumonia,193,79505,242.8,193.7,,,
2010,Nevada,11,Community-Acquired Pneumonia,195,80097,243.5,192.3,,,
2011,Nevada,11,Community-Acquired Pneumonia,239,80389,297.3,230.2,,,
2012,Nevada,11,Community-Acquired Pneumonia,228,80329,283.8,215.3,,,
2013,Nevada,11,Community-Acquired Pneumonia,219,80699,271.4,203,,,
2014,Nevada,11,Community-Acquired Pneumonia,177,82513,214.5,161.7,,,
2015,Nevada,11,Community-Acquired Pneumonia,168,61125,274.8,199.2,,,
2016,Nevada,11,Community-Acquired Pneumonia,,,,,142,"81,712",173.8
2017,Nevada,11,Community-Acquired Pneumonia,,,,,96,"82,510",116.3
2005,Orange,11,Community-Acquired Pneumonia,5343,2180617,245,286.8,,,
2006,Orange,11,Community-Acquired Pneumonia,4688,2185121,214.5,248,,,
2007,Orange,11,Community-Acquired Pneumonia,4399,2194736,200.4,227.9,,,
2008,Orange,11,Community-Acquired Pneumonia,4429,2219901,199.5,224.3,,,
2009,Orange,11,Community-Acquired Pneumonia,4110,2249030,182.7,203.1,,,
2010,Orange,11,Community-Acquired Pneumonia,3920,2279215,172,189,,,
2011,Orange,11,Community-Acquired Pneumonia,4080,2319605,175.9,190.8,,,
2012,Orange,11,Community-Acquired Pneumonia,3611,2270432,159,165.3,,,
2013,Orange,11,Community-Acquired Pneumonia,3467,2303808,150.5,154.4,,,
2014,Orange,11,Community-Acquired Pneumonia,2969,2330275,127.4,131.6,,,
2015,Orange,11,Community-Acquired Pneumonia,2207,1754644,125.8,124.1,,,
2016,Orange,11,Community-Acquired Pneumonia,,,,,"2,651","2,465,223",107.5
2017,Orange,11,Community-Acquired Pneumonia,,,,,"1,890","2,484,401",76.1
2005,Placer,11,Community-Acquired Pneumonia,687,233967,293.6,290.3,,,
2006,Placer,11,Community-Acquired Pneumonia,609,241760,251.9,243.6,,,
2007,Placer,11,Community-Acquired Pneumonia,625,247749,252.3,241.1,,,
2008,Placer,11,Community-Acquired Pneumonia,509,254728,199.8,188,,,
2009,Placer,11,Community-Acquired Pneumonia,522,260230,200.6,185.8,,,
2010,Placer,11,Community-Acquired Pneumonia,499,265780,187.7,171.7,,,
2011,Placer,11,Community-Acquired Pneumonia,434,272624,159.2,143.4,,,
2012,Placer,11,Community-Acquired Pneumonia,340,269220,126.3,109.1,,,
2013,Placer,11,Community-Acquired Pneumonia,365,275142,132.7,112.7,,,
2014,Placer,11,Community-Acquired Pneumonia,345,291385,118.4,102.8,,,
2015,Placer,11,Community-Acquired Pneumonia,342,211518,161.7,131.9,,,
2016,Placer,11,Community-Acquired Pneumonia,,,,,327,"294,337",111.1
2017,Placer,11,Community-Acquired Pneumonia,,,,,221,"299,933",73.7
2005,Plumas,11,Community-Acquired Pneumonia,104,16762,620.5,533.6,,,
2006,Plumas,11,Community-Acquired Pneumonia,76,16591,458.1,390.9,,,
2007,Plumas,11,Community-Acquired Pneumonia,72,16601,433.7,364,,,
2008,Plumas,11,Community-Acquired Pneumonia,73,16521,441.9,362.3,,,
2009,Plumas,11,Community-Acquired Pneumonia,85,16385,518.8,421.5,,,
2010,Plumas,11,Community-Acquired Pneumonia,69,16311,423,338.5,,,
2011,Plumas,11,Community-Acquired Pneumonia,96,16239,591.2,464.1,,,
2012,Plumas,11,Community-Acquired Pneumonia,60,17560,341.7,287.6,,,
2013,Plumas,11,Community-Acquired Pneumonia,62,17229,359.9,298.2,,,
2014,Plumas,11,Community-Acquired Pneumonia,71,16981,418.1,336.6,,,
2015,Plumas,11,Community-Acquired Pneumonia,48,13235,362.7,301.5,,,
2016,Plumas,11,Community-Acquired Pneumonia,,,,,81,"15,622",518.5
2017,Plumas,11,Community-Acquired Pneumonia,,,,,48,"15,589",307.9
2005,Riverside,11,Community-Acquired Pneumonia,4500,1365225,329.6,362.2,,,
2006,Riverside,11,Community-Acquired Pneumonia,3937,1423074,276.7,305.6,,,
2007,Riverside,11,Community-Acquired Pneumonia,3746,1468741,255,281.3,,,
2008,Riverside,11,Community-Acquired Pneumonia,3599,1497677,240.3,262.6,,,
2009,Riverside,11,Community-Acquired Pneumonia,3523,1532584,229.9,248.9,,,
2010,Riverside,11,Community-Acquired Pneumonia,3445,1579716,218.1,235.2,,,
2011,Riverside,11,Community-Acquired Pneumonia,3483,1618245,215.2,230.6,,,
2012,Riverside,11,Community-Acquired Pneumonia,3356,1578971,212.5,217,,,
2013,Riverside,11,Community-Acquired Pneumonia,3591,1608253,223.3,225.2,,,
2014,Riverside,11,Community-Acquired Pneumonia,2965,1723126,172.1,181.2,,,
2015,Riverside,11,Community-Acquired Pneumonia,2414,1235866,195.3,190.3,,,
2016,Riverside,11,Community-Acquired Pneumonia,,,,,"2,689","1,772,763",151.7
2017,Riverside,11,Community-Acquired Pneumonia,,,,,"1,960","1,807,055",108.5
2005,Sacramento,11,Community-Acquired Pneumonia,3092,1001691,308.7,355.9,,,
2006,Sacramento,11,Community-Acquired Pneumonia,2854,1010429,282.5,323.7,,,
2007,Sacramento,11,Community-Acquired Pneumonia,2700,1020852,264.5,300.7,,,
2008,Sacramento,11,Community-Acquired Pneumonia,2406,1032542,233,262.2,,,
2009,Sacramento,11,Community-Acquired Pneumonia,2275,1046094,217.5,242.7,,,
2010,Sacramento,11,Community-Acquired Pneumonia,2178,1058518,205.8,227.7,,,
2011,Sacramento,11,Community-Acquired Pneumonia,1562,1075584,145.2,158.9,,,
2012,Sacramento,11,Community-Acquired Pneumonia,1252,1052498,119,125.1,,,
2013,Sacramento,11,Community-Acquired Pneumonia,1326,1066996,124.3,129.1,,,
2014,Sacramento,11,Community-Acquired Pneumonia,1326,1102714,120.2,127.8,,,
2015,Sacramento,11,Community-Acquired Pneumonia,1113,812828,136.9,137.6,,,
2016,Sacramento,11,Community-Acquired Pneumonia,,,,,"1,185","1,150,115",103
2017,Sacramento,11,Community-Acquired Pneumonia,,,,,955,"1,166,304",81.9
2005,San Benito,11,Community-Acquired Pneumonia,113,38212,295.7,378,,,
2006,San Benito,11,Community-Acquired Pneumonia,97,37946,255.6,319.3,,,
2007,San Benito,11,Community-Acquired Pneumonia,91,37962,239.7,293.8,,,
2008,San Benito,11,Community-Acquired Pneumonia,76,38262,198.6,239.6,,,
2009,San Benito,11,Community-Acquired Pneumonia,96,38665,248.3,295.2,,,
2010,San Benito,11,Community-Acquired Pneumonia,120,39605,303,357.3,,,
2011,San Benito,11,Community-Acquired Pneumonia,105,40266,260.8,302.3,,,
2012,San Benito,11,Community-Acquired Pneumonia,91,41403,219.8,252.3,,,
2013,San Benito,11,Community-Acquired Pneumonia,91,42194,215.7,243.9,,,
2014,San Benito,11,Community-Acquired Pneumonia,83,41257,201.2,224.6,,,
2015,San Benito,11,Community-Acquired Pneumonia,75,33017,227.2,250.1,,,
2016,San Benito,11,Community-Acquired Pneumonia,,,,,80,"43,840",182.5
2017,San Benito,11,Community-Acquired Pneumonia,,,,,69,"44,802",154
2005,San Bernardino,11,Community-Acquired Pneumonia,4704,1347408,349.1,470.1,,,
2006,San Bernardino,11,Community-Acquired Pneumonia,3716,1373516,270.5,363.7,,,
2007,San Bernardino,11,Community-Acquired Pneumonia,3410,1390849,245.2,327.2,,,
2008,San Bernardino,11,Community-Acquired Pneumonia,3476,1405191,247.4,325.6,,,
2009,San Bernardino,11,Community-Acquired Pneumonia,3434,1420975,241.7,313.4,,,
2010,San Bernardino,11,Community-Acquired Pneumonia,3162,1447189,218.5,280.1,,,
2011,San Bernardino,11,Community-Acquired Pneumonia,3292,1474036,223.3,283.5,,,
2012,San Bernardino,11,Community-Acquired Pneumonia,2842,1428592,198.9,240.1,,,
2013,San Bernardino,11,Community-Acquired Pneumonia,2902,1446673,200.6,238.3,,,
2014,San Bernardino,11,Community-Acquired Pneumonia,2543,1521005,167.2,206.1,,,
2015,San Bernardino,11,Community-Acquired Pneumonia,1951,1099744,177.4,202.5,,,
2016,San Bernardino,11,Community-Acquired Pneumonia,,,,,"2,319","1,565,005",148.2
2017,San Bernardino,11,Community-Acquired Pneumonia,,,,,"1,701","1,585,735",107.3
2005,San Diego,11,Community-Acquired Pneumonia,5161,2214544,233.1,268.3,,,
2006,San Diego,11,Community-Acquired Pneumonia,4682,2229606,210,240.6,,,
2007,San Diego,11,Community-Acquired Pneumonia,4950,2257236,219.3,248.9,,,
2008,San Diego,11,Community-Acquired Pneumonia,4964,2296616,216.1,243.3,,,
2009,San Diego,11,Community-Acquired Pneumonia,4887,2332413,209.5,234.3,,,
2010,San Diego,11,Community-Acquired Pneumonia,4740,2372232,199.8,222.2,,,
